Year,UST,MBS,Corporate,Munis,Equity
2010,523.81,320.56,22.21,14.88,234.62
2011,571.04,249.51,22.22,13.04,253.11
2012,519.50,284.41,23.87,12.80,210.80
2013,546.52,225.85,26.10,12.38,222.67
2014,505.02,181.08,28.02,11.01,259.79
2015,490.03,195.33,29.13,9.60,278.17
2016,519.10,212.27,31.15,12.44,272.89
2017,505.16,211.03,32.17,11.87,271.15
2018,547.80,220.57,32.83,12.27,356.87
2019,624.64,250.40,35.59,11.96,321.74
2020,595.64,293.00,41.01,12.41,479.45
2021,655.16,280.69,39.21,8.96,564.66
2022,685.06,242.01,40.22,14.48,573.09
2023,760.54,256.01,42.85,13.43,514.64
2024,907.92,294.56,51.90,13.34,607.72
